,id,title,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments,user
39,799f6Ih1Pu4AUApMyXhxUc,Bonfire,0.506,0.745,8,-6.044,1,0.0594,0.0,0.341,0.311,161.808,192947,4,109,14,865,willfrank
40,20fAoPjfYltmd3K3bO7gbt,Stick Talk,0.729,0.672,7,-6.749,1,0.0265,0.0,0.244,0.595,159.903,171333,4,114,7,688,willfrank
41,12D0n7hKpPcjuUpcbAKjjr,Don't Like.1,0.668,0.628,6,-5.327,0,0.00822,0.0,0.145,0.621,131.88,283653,4,153,9,1070,willfrank
42,7Gs3otHnZDq514kFHf0nx7,Blue Notes,0.515,0.431,4,-8.251,1,0.665,0.0,0.147,0.184,141.392,227809,4,132,12,864,willfrank
43,7y911sqgHGHcyU4ivapjwi,All Me,0.67,0.515,1,-6.977,1,0.0705,0.0,0.25,0.422,122.006,270867,4,111,12,1028,willfrank
44,7tGlzXJv6GD5e5qlu5YmDg,Love Me,0.674,0.608,8,-6.628,0,0.0119,0.0,0.103,0.464,124.952,253440,4,133,12,958,willfrank
45,1ScOtx2iDnr2KAdIBX8xbr,Still In The Hood,0.868,0.659,8,-5.666,1,0.375,0.0,0.109,0.513,115.017,125217,4,58,6,476,willfrank
46,11BIoKDpTJHX5mZt6p566h,New Level (feat. Future),0.526,0.655,1,-4.208,0,0.0566,0.0,0.116,0.156,121.127,267212,4,150,13,1072,willfrank
47,1QgTBfRN5m81a5K01qens6,444+222,0.791,0.513,10,-6.568,0,0.0235,2.83e-05,0.101,0.481,76.997,247347,4,79,13,1003,willfrank
48,21yRtB6B8EMounImAfHRCP,Who Dat Boy (feat. A$AP Rocky),0.706,0.485,8,-9.671,1,0.337,0.0,0.122,0.144,115.414,205093,4,100,9,856,willfrank
49,5W9QCBJ6Em0XWX333YrNhc,Rent Money,0.694,0.493,1,-8.581,1,0.0331,2.04e-06,0.431,0.313,166.457,265366,4,184,9,1103,willfrank
50,6pVSAHKEKOWxDcfr8haIGe,Ball Player (feat. Quavo),0.724,0.827,11,-4.211,0,0.0457,0.0,0.0848,0.2,144.973,251707,4,152,8,1175,willfrank
51,6ikgPqC9vhkduTdIpsqYdj,Megaman,0.744,0.314,8,-8.871,1,0.0651,0.0,0.134,0.0438,134.388,133000,4,73,5,483,willfrank
52,7KZ5MMVgBVox9ycroB2UrI,CAROUSEL,0.428,0.403,5,-5.914,0,0.229,0.0,0.22,0.133,95.387,180183,5,89,9,659,willfrank
53,08zAFXhfyIxq9359NHksdP,Do Not Disturb (feat. Lil Yachty & Offset),0.879,0.647,10,-4.566,0,0.203,0.00185,0.335,0.212,131.026,157557,4,85,7,677,willfrank
54,5aSTOtjXKNN45eXbHUYsCM,Earned It,0.853,0.401,1,-14.962,1,0.553,0.0,0.169,0.803,132.096,315912,4,174,15,1251,willfrank
55,2sXQgBaLmGpiIx6SyUhkPQ,Like This,0.809,0.766,1,-3.301,1,0.00687,0.0,0.437,0.236,142.086,215409,4,125,9,950,willfrank
56,69WMdZSqdQwFgLVpbMsZ2J,WIN,0.879,0.595,1,-2.936,1,0.0152,0.0,0.391,0.355,125.994,215227,4,112,8,839,willfrank
57,4bl1HBZliBuYpFZjWgefE4,Peta (feat. Meek Mill),0.778,0.573,10,-7.339,0,0.015,0.0,0.464,0.269,140.114,198849,4,115,8,895,willfrank
58,0Ux97Dqx5amaRrDvHbEfjm,Banned from TV,0.69,0.565,11,-5.772,0,0.109,0.0,0.274,0.457,130.025,177280,4,96,11,686,willfrank
59,0XOMoQbYxYPVLxwK4VDmNA,All Of A Sudden,0.759,0.727,1,-5.617,1,0.000151,0.0015,0.0588,0.376,139.995,169187,4,97,7,767,willfrank
60,3hWUIMNBwLNug1O8o2PPRW,Too Hotty,0.889,0.398,1,-7.183,1,0.19,0.0,0.104,0.159,129.993,295997,4,159,9,1289,willfrank
61,2d4wYqYmWS9W48PZV5Sfhi,Next,0.721,0.767,1,-6.544,1,0.0516,0.0,0.0734,0.392,130.003,153231,4,83,7,643,willfrank
62,5RIVAc0J3PAsw4aqkzO7TM,At The Hotel (feat. Lil Uzi Vert & Young Jordan),0.902,0.627,1,-7.028,1,0.036,0.0,0.0795,0.397,141.999,229859,4,133,7,1043,willfrank
63,3N4OzMI84d1hqcobgue6uT,Light (feat. Lil Yachty),0.686,0.657,1,-6.383,1,0.0192,0.0,0.129,0.124,146.066,276164,4,167,11,1330,willfrank
64,1yBbxDXEfr8boXM1ubvBHi,Ecstasy (feat. Machine Gun Kelly),0.826,0.691,1,-6.557,1,0.000541,0.0,0.157,0.603,162.966,178240,4,119,8,840,willfrank
65,6eKWSrZfzd25TYYxkscWgg,BabyWipe,0.884,0.505,1,-8.322,1,0.0257,0.0,0.307,0.582,148.042,168627,4,104,7,786,willfrank
66,1KZ0Xo6Mmeprp1Sw5xCHYz,Trap Trap Trap (feat. Young Thug & Wale),0.729,0.838,8,-4.476,0,0.00612,0.0,0.0721,0.349,136.869,275720,4,158,11,1157,willfrank
67,5yhFsdivnbfnucFVxuyfZo,WDYW,0.718,0.816,0,-3.313,1,0.205,0.0,0.813,0.491,125.01,233000,4,123,11,934,willfrank
68,1x6Zk7hoTIlSOFNZnyxjZD,Upper Echelon (feat. T.I. & 2 Chainz),0.788,0.617,2,-4.516,1,0.0448,0.0,0.088,0.128,122.065,243800,4,121,7,911,willfrank
69,6j8lAie0mdUNreql5d5Ejz,Bobby Bitch,0.921,0.525,11,-8.186,1,0.0136,0.0,0.313,0.794,130.747,160383,4,85,9,596,willfrank
70,4X5f3vT8MRuXF68pfjNte5,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",0.853,0.693,1,-6.87,1,0.0239,0.0,0.11,0.662,95.967,233787,4,91,11,1052,willfrank
71,792HwhrdO3ErRKL5yRe4Ge,Invincible,0.548,0.732,11,-5.652,0,0.125,0.0,0.269,0.612,142.791,127547,4,68,6,570,willfrank
72,7qeWNGBqqagdwf4KnjRzGZ,U Played (feat. Lil Baby),0.874,0.847,2,-3.574,1,0.00341,0.0,0.29,0.881,134.965,164754,4,91,6,762,willfrank
73,3xby7fOyqmeON8jsnom0AT,Nightcrawler (feat. Swae Lee & Chief Keef),0.522,0.728,3,-3.801,0,0.00134,0.0,0.132,0.18,124.045,321560,4,166,11,1111,willfrank
74,5erLs80hB2TbFWgSAbVQpe,No Auto (feat. Lil Durk),0.713,0.681,11,-7.645,0,0.00286,0.0,0.291,0.635,159.107,135065,4,90,5,575,willfrank
75,7ioyIIDzMSuiwcUhKwP7ix,Money Flip,0.76,0.593,10,-8.34,1,0.0743,0.0,0.198,0.277,142.007,178117,4,106,10,841,willfrank
76,4oa9M6QtGRGpBJf7Vgpghi,1600 Uzi,0.69,0.625,2,-10.077,0,0.00397,0.0,0.103,0.501,145.639,255048,4,152,10,1069,willfrank
77,3L0IKstjUgDFVQAbQIRZRv,R.I.P.,0.725,0.725,8,-6.067,0,0.0119,0.0,0.086,0.515,140.003,192027,4,111,8,775,willfrank
78,595Sl1FDWMXRUktv5LO2gD,Jefe (feat. Meek Mill),0.713,0.825,2,-5.25,1,0.0925,0.0,0.58,0.742,127.95,208486,4,109,12,932,willfrank
79,4VcPtoOpK3oBMDZJ9Ptp9f,No Auto Durk,0.765,0.553,11,-7.116,0,0.00822,0.0,0.206,0.565,154.971,184258,4,117,10,837,willfrank
80,7fEoXCZTZFosUFvFQg1BmW,Took Her To The O,0.82,0.592,1,-7.002,1,0.0149,4.71e-06,0.121,0.4,159.98,196180,4,129,8,864,willfrank
81,1rX2V3ULhgO5eRRMWMc820,Forget That (feat. Rylo Rodriguez),0.897,0.574,8,-8.017,1,0.0498,6.38e-06,0.122,0.769,150.086,167172,4,104,5,732,willfrank
82,5bUwUQKGNnTE20kb3MTqHD,Under Ground Kings,0.487,0.712,8,-7.323,1,5.2e-05,0.0,0.198,0.397,156.209,212613,4,136,10,950,willfrank
83,1j6kDJttn6wbVyMaM42Nxm,Lord Pretty Flacko Jodye 2 (LPFJ2),0.485,0.72,6,-5.991,1,0.0123,0.0,0.0546,0.0471,207.982,126960,4,105,5,497,willfrank
84,3X37NtwadSS0RM20dh2IgP,Worst Behavior,0.777,0.778,9,-6.349,1,0.156,1.08e-06,0.196,0.437,109.925,270200,4,121,12,1179,willfrank
85,71d7LaAgPcNcUopu3OzmP7,Make It Rain (feat. Rowdy Rebel),0.5,0.767,1,-4.105,1,0.162,9.79e-05,0.385,0.58,159.477,202443,4,127,9,925,willfrank
86,7rSnKi58HPIVC0FVyh04Q1,Shake The Room (feat. Quavo),0.733,0.684,2,-4.748,1,0.142,0.0,0.179,0.437,142.04,165640,4,99,8,742,willfrank
